medcode	clinicalevents	referralevents	testevents	immunisationevents	readcode	readterm	databasebuild
5381	9078	146	0	0	S15..00	Fracture of thoracic vertebra	February 2009
4629	6231	202	0	0	7K1L.00	Other closed reduction of fracture of bone	February 2009
8891	43754	647	0	0	S3...00	Fracture of lower limb	February 2009
28524	2861	50	0	0	S102100	Closed fracture thoracic vertebra, wedge	February 2009
33656	705	2	1	0	S330100	Closed fracture proximal fibula	February 2009
23971	142	1	0	0	7K1D800	Prmy open reduction #+locked reamed intramedullary nail fxtn	February 2009
18299	12901	832	0	0	S234.00	Closed fracture of radius and ulna, lower end	February 2009
19189	710	14	0	0	S10A200	Multiple fractures of cervical spine	February 2009
52300	94	0	0	0	S110.00	Closed fracture of cervical spine with cord lesion	February 2009
4359	12051	761	0	0	S23x300	Closed fracture of the radius and ulna	February 2009
37662	647	23	0	0	S310000	Closed fracture of femur, unspecified part	February 2009
27881	4786	30	0	0	S250600	Closed fracture finger metacarpal	February 2009
38355	230	1	0	0	S312500	Closed fracture distal femur, lateral condyle	February 2009
64139	68	1	0	0	S13z.00	Open fracture of pelvis NOS	February 2009
1548	6197	622	1	0	S228.00	Fracture of lower end of humerus	February 2009
33961	225	4	0	0	S134.00	Other or multiple closed fracture of pelvis	February 2009
5302	8067	325	0	0	S132.00	Closed fracture pubis	February 2009
1591	2211	131	0	0	S130.00	Closed fracture acetabulum	February 2009
17508	2466	9	0	0	7K1E000	Prmy open reduction of #+internal fixation with plate NEC	February 2009
6299	36336	396	0	0	S263.00	Fracture of other finger	February 2009
36391	290	2	0	0	S300400	Closed fracture head of femur	February 2009
5301	1385	109	0	0	S302.00	Closed fracture of proximal femur, pertrochanteric	February 2009
11296	4170	59	0	0	S100.00	Closed fracture of cervical spine	February 2009
6195	97525	1320	0	0	S2...00	Fracture of upper limb	February 2009
8646	5953	33	0	0	S314.00	Fracture of shaft of femur	February 2009
6660	1770	98	0	0	7K1L400	Closed reduction of fracture of hip	February 2009
7428	5930	174	0	0	7K1LG00	Closed reduction of fracture of shoulder	February 2009
42972	98	0	0	0	S311.00	Open fracture of femur, shaft or unspecified part	February 2009
553	84606	2392	5	0	S242000	Fracture of scaphoid	February 2009
5526	2289	140	1	0	N331.00	Pathological fracture	February 2009
8040	14967	136	0	0	S31..00	Other fracture of femur	February 2009
35011	1170	20	1	0	S32z.00	Fracture of patella, NOS	February 2009
53670	119	0	0	0	7K1J011	Cl red intracaps frac neck femur fix-Garden cannulated screw	February 2009
33593	243	1	0	0	S01z.00	Fracture of base of skull NOS	February 2009
41287	95	2	0	0	S320400	Closed fracture patella, comminuted (stellate)	February 2009
18825	454	13	0	0	NyuB800	[X]Unspecified osteoporosis with pathological fracture	February 2009
16389	1150	65	0	0	S210100	Closed fracture scapula, acromion	February 2009
12369	147	3	0	0	S339100	Open fracture of distal fibula	February 2009
3937	31079	1657	5	0	S352700	Closed fracture metatarsal	February 2009
2225	144676	6917	8	0	S30..00	Fracture of neck of femur	February 2009
45736	270	22	0	0	N331H00	Collapse of cervical vertebra due to osteoporosis	February 2009
44830	350	1	0	0	S330.00	Closed fracture of tibia and fibula, proximal	February 2009
34403	330	4	0	0	S10A100	Fracture of second cervical vertebra	February 2009
12673	1670	49	0	0	N331900	Osteoporosis + pathological fracture thoracic vertebrae	February 2009
